t,mcc,mcc_lo,mcc_hi,gender,1st_cond,1st_age_band
0,0,0,0,F,Hyp,"(50, 59)"
1,0,0,0,F,Hyp,"(50, 59)"
2,0,0,0,F,Hyp,"(50, 59)"
3,0,0,0,F,Hyp,"(50, 59)"
4,0,0,0,F,Hyp,"(50, 59)"
5,0,0,0,F,Hyp,"(50, 59)"
6,0,0,0,F,Hyp,"(50, 59)"
7,0,0,0,F,Hyp,"(50, 59)"
8,0,0,0,F,Hyp,"(50, 59)"
9,0,0,0,F,Hyp,"(50, 59)"
10,0,0,0,F,Hyp,"(50, 59)"
11,0,0,0,F,Hyp,"(50, 59)"
12,0,0,0,F,Hyp,"(50, 59)"
13,0,0,0,F,Hyp,"(50, 59)"
14,0,0,0,F,Hyp,"(50, 59)"
15,0,0,0,F,Hyp,"(50, 59)"
16,0,0,0,F,Hyp,"(50, 59)"
17,0,0,0,F,Hyp,"(50, 59)"
18,0,0,0,F,Hyp,"(50, 59)"
19,0,0,0,F,Hyp,"(50, 59)"
20,0,0,0,F,Hyp,"(50, 59)"
21,0,0,0,F,Hyp,"(50, 59)"
22,0,0,0,F,Hyp,"(50, 59)"
23,0,0,0,F,Hyp,"(50, 59)"
24,0,0,0,F,Hyp,"(50, 59)"
25,0,0,0,F,Hyp,"(50, 59)"
26,0,0,0,F,Hyp,"(50, 59)"
27,0,0,0,F,Hyp,"(50, 59)"
28,0,0,0,F,Hyp,"(50, 59)"
29,0,0,0,F,Hyp,"(50, 59)"
30,0,0,0,F,Hyp,"(50, 59)"
31,0,0,0,F,Hyp,"(50, 59)"
32,0,0,0,F,Hyp,"(50, 59)"
33,0,0,0,F,Hyp,"(50, 59)"
34,0,0,0,F,Hyp,"(50, 59)"
35,0,0,0,F,Hyp,"(50, 59)"
36,0,0,0,F,Hyp,"(50, 59)"
37,0,0,0,F,Hyp,"(50, 59)"
38,0,0,0,F,Hyp,"(50, 59)"
39,0,0,0,F,Hyp,"(50, 59)"
40,0,0,0,F,Hyp,"(50, 59)"
41,0,0,0,F,Hyp,"(50, 59)"
42,0,0,0,F,Hyp,"(50, 59)"
43,0,0,0,F,Hyp,"(50, 59)"
44,0,0,0,F,Hyp,"(50, 59)"
45,0,0,0,F,Hyp,"(50, 59)"
46,0,0,0,F,Hyp,"(50, 59)"
47,0,0,0,F,Hyp,"(50, 59)"
48,0,0,0,F,Hyp,"(50, 59)"
49,0,0,0,F,Hyp,"(50, 59)"
50,0,0,0,F,Hyp,"(50, 59)"
51,1,1,1,F,Hyp,"(50, 59)"
52,2,2,2,F,Hyp,"(50, 59)"
53,2,2,2,F,Hyp,"(50, 59)"
54,2,2,2,F,Hyp,"(50, 59)"
55,2,2,2,F,Hyp,"(50, 59)"
56,2,2,2,F,Hyp,"(50, 59)"
57,2,2,2,F,Hyp,"(50, 59)"
58,2,2,2,F,Hyp,"(50, 59)"
59,2,2,2,F,Hyp,"(50, 59)"
60,2,2,2,F,Hyp,"(50, 59)"
61,2,2,2,F,Hyp,"(50, 59)"
62,2,2,2,F,Hyp,"(50, 59)"
63,3,3,3,F,Hyp,"(50, 59)"
64,3,3,3,F,Hyp,"(50, 59)"
65,4,4,4,F,Hyp,"(50, 59)"
66,4,4,4,F,Hyp,"(50, 59)"
67,4,4,4,F,Hyp,"(50, 59)"
68,4,4,4,F,Hyp,"(50, 59)"
69,4,4,4,F,Hyp,"(50, 59)"
70,4,4,4,F,Hyp,"(50, 59)"
71,4,4,4,F,Hyp,"(50, 59)"
72,4,4,4,F,Hyp,"(50, 59)"
73,4,4,4,F,Hyp,"(50, 59)"
74,4,4,4,F,Hyp,"(50, 59)"
75,4,4,4,F,Hyp,"(50, 59)"
76,4,4,4,F,Hyp,"(50, 59)"
77,4,4,4,F,Hyp,"(50, 59)"
78,4,4,4,F,Hyp,"(50, 59)"
79,4,4,4,F,Hyp,"(50, 59)"
80,4,4,4,F,Hyp,"(50, 59)"
81,4,4,4,F,Hyp,"(50, 59)"
82,4,4,4,F,Hyp,"(50, 59)"
83,4,4,4,F,Hyp,"(50, 59)"
84,4,4,4,F,Hyp,"(50, 59)"
85,4,4,4,F,Hyp,"(50, 59)"
86,4,4,4,F,Hyp,"(50, 59)"
87,4,4,4,F,Hyp,"(50, 59)"
88,4,4,4,F,Hyp,"(50, 59)"
89,4,4,4,F,Hyp,"(50, 59)"
90,4,4,4,F,Hyp,"(50, 59)"
91,4,4,4,F,Hyp,"(50, 59)"
92,4,4,4,F,Hyp,"(50, 59)"
93,4,4,4,F,Hyp,"(50, 59)"
94,4,4,4,F,Hyp,"(50, 59)"
95,4,4,4,F,Hyp,"(50, 59)"
96,4,4,4,F,Hyp,"(50, 59)"
97,4,4,4,F,Hyp,"(50, 59)"
98,4,4,4,F,Hyp,"(50, 59)"
99,4,4,4,F,Hyp,"(50, 59)"
100,4,4,4,F,Hyp,"(50, 59)"
0,0,0,0,F,Hyp,"(70, 79)"
1,0,0,0,F,Hyp,"(70, 79)"
2,0,0,0,F,Hyp,"(70, 79)"
3,0,0,0,F,Hyp,"(70, 79)"
4,0,0,0,F,Hyp,"(70, 79)"
5,0,0,0,F,Hyp,"(70, 79)"
6,0,0,0,F,Hyp,"(70, 79)"
7,0,0,0,F,Hyp,"(70, 79)"
8,0,0,0,F,Hyp,"(70, 79)"
9,0,0,0,F,Hyp,"(70, 79)"
10,0,0,0,F,Hyp,"(70, 79)"
11,0,0,0,F,Hyp,"(70, 79)"
12,0,0,0,F,Hyp,"(70, 79)"
13,0,0,0,F,Hyp,"(70, 79)"
14,0,0,0,F,Hyp,"(70, 79)"
15,0,0,0,F,Hyp,"(70, 79)"
16,0,0,0,F,Hyp,"(70, 79)"
17,0,0,0,F,Hyp,"(70, 79)"
18,0,0,0,F,Hyp,"(70, 79)"
19,0,0,0,F,Hyp,"(70, 79)"
20,0,0,0,F,Hyp,"(70, 79)"
21,0,0,0,F,Hyp,"(70, 79)"
22,0,0,0,F,Hyp,"(70, 79)"
23,0,0,0,F,Hyp,"(70, 79)"
24,0,0,0,F,Hyp,"(70, 79)"
25,0,0,0,F,Hyp,"(70, 79)"
26,0,0,0,F,Hyp,"(70, 79)"
27,0,0,0,F,Hyp,"(70, 79)"
28,0,0,0,F,Hyp,"(70, 79)"
29,0,0,0,F,Hyp,"(70, 79)"
30,0,0,0,F,Hyp,"(70, 79)"
31,0,0,0,F,Hyp,"(70, 79)"
32,0,0,0,F,Hyp,"(70, 79)"
33,0,0,0,F,Hyp,"(70, 79)"
34,0,0,0,F,Hyp,"(70, 79)"
35,0,0,0,F,Hyp,"(70, 79)"
36,0,0,0,F,Hyp,"(70, 79)"
37,0,0,0,F,Hyp,"(70, 79)"
38,0,0,0,F,Hyp,"(70, 79)"
39,0,0,0,F,Hyp,"(70, 79)"
40,0,0,0,F,Hyp,"(70, 79)"
41,0,0,0,F,Hyp,"(70, 79)"
42,0,0,0,F,Hyp,"(70, 79)"
43,0,0,0,F,Hyp,"(70, 79)"
44,0,0,0,F,Hyp,"(70, 79)"
45,0,0,0,F,Hyp,"(70, 79)"
46,0,0,0,F,Hyp,"(70, 79)"
47,0,0,0,F,Hyp,"(70, 79)"
48,0,0,0,F,Hyp,"(70, 79)"
49,0,0,0,F,Hyp,"(70, 79)"
50,0,0,0,F,Hyp,"(70, 79)"
51,0,0,0,F,Hyp,"(70, 79)"
52,0,0,0,F,Hyp,"(70, 79)"
53,0,0,0,F,Hyp,"(70, 79)"
54,0,0,0,F,Hyp,"(70, 79)"
55,0,0,0,F,Hyp,"(70, 79)"
56,0,0,0,F,Hyp,"(70, 79)"
57,0,0,0,F,Hyp,"(70, 79)"
58,0,0,0,F,Hyp,"(70, 79)"
59,0,0,0,F,Hyp,"(70, 79)"
60,0,0,0,F,Hyp,"(70, 79)"
61,0,0,0,F,Hyp,"(70, 79)"
62,0,0,0,F,Hyp,"(70, 79)"
63,0,0,0,F,Hyp,"(70, 79)"
64,0,0,0,F,Hyp,"(70, 79)"
65,0,0,0,F,Hyp,"(70, 79)"
66,0,0,0,F,Hyp,"(70, 79)"
67,0,0,0,F,Hyp,"(70, 79)"
68,0,0,0,F,Hyp,"(70, 79)"
69,0,0,0,F,Hyp,"(70, 79)"
70,0,0,0,F,Hyp,"(70, 79)"
71,0,0,0,F,Hyp,"(70, 79)"
72,0,0,0,F,Hyp,"(70, 79)"
73,1,1,1,F,Hyp,"(70, 79)"
74,1,1,1,F,Hyp,"(70, 79)"
75,1,1,1,F,Hyp,"(70, 79)"
76,1,1,1,F,Hyp,"(70, 79)"
77,1,1,1,F,Hyp,"(70, 79)"
78,1,1,1,F,Hyp,"(70, 79)"
79,2,2,2,F,Hyp,"(70, 79)"
80,2,2,2,F,Hyp,"(70, 79)"
81,3,3,3,F,Hyp,"(70, 79)"
82,3,3,3,F,Hyp,"(70, 79)"
83,3,3,3,F,Hyp,"(70, 79)"
84,3,3,3,F,Hyp,"(70, 79)"
85,3,3,3,F,Hyp,"(70, 79)"
86,3,3,3,F,Hyp,"(70, 79)"
87,3,3,3,F,Hyp,"(70, 79)"
88,3,3,3,F,Hyp,"(70, 79)"
89,3,3,3,F,Hyp,"(70, 79)"
90,3,3,3,F,Hyp,"(70, 79)"
91,3,3,3,F,Hyp,"(70, 79)"
92,3,3,3,F,Hyp,"(70, 79)"
93,3,3,3,F,Hyp,"(70, 79)"
94,3,3,3,F,Hyp,"(70, 79)"
95,3,3,3,F,Hyp,"(70, 79)"
96,3,3,3,F,Hyp,"(70, 79)"
97,3,3,3,F,Hyp,"(70, 79)"
98,3,3,3,F,Hyp,"(70, 79)"
99,3,3,3,F,Hyp,"(70, 79)"
100,3,3,3,F,Hyp,"(70, 79)"
0,0,0,0,F,Ost,"(70, 79)"
1,0,0,0,F,Ost,"(70, 79)"
2,0,0,0,F,Ost,"(70, 79)"
3,0,0,0,F,Ost,"(70, 79)"
4,0,0,0,F,Ost,"(70, 79)"
5,0,0,0,F,Ost,"(70, 79)"
6,0,0,0,F,Ost,"(70, 79)"
7,0,0,0,F,Ost,"(70, 79)"
8,0,0,0,F,Ost,"(70, 79)"
9,0,0,0,F,Ost,"(70, 79)"
10,0,0,0,F,Ost,"(70, 79)"
11,0,0,0,F,Ost,"(70, 79)"
12,0,0,0,F,Ost,"(70, 79)"
13,0,0,0,F,Ost,"(70, 79)"
14,0,0,0,F,Ost,"(70, 79)"
15,0,0,0,F,Ost,"(70, 79)"
16,0,0,0,F,Ost,"(70, 79)"
17,0,0,0,F,Ost,"(70, 79)"
18,0,0,0,F,Ost,"(70, 79)"
19,0,0,0,F,Ost,"(70, 79)"
20,0,0,0,F,Ost,"(70, 79)"
21,0,0,0,F,Ost,"(70, 79)"
22,0,0,0,F,Ost,"(70, 79)"
23,0,0,0,F,Ost,"(70, 79)"
24,0,0,0,F,Ost,"(70, 79)"
25,0,0,0,F,Ost,"(70, 79)"
26,0,0,0,F,Ost,"(70, 79)"
27,0,0,0,F,Ost,"(70, 79)"
28,0,0,0,F,Ost,"(70, 79)"
29,0,0,0,F,Ost,"(70, 79)"
30,0,0,0,F,Ost,"(70, 79)"
31,0,0,0,F,Ost,"(70, 79)"
32,0,0,0,F,Ost,"(70, 79)"
33,0,0,0,F,Ost,"(70, 79)"
34,0,0,0,F,Ost,"(70, 79)"
35,0,0,0,F,Ost,"(70, 79)"
36,0,0,0,F,Ost,"(70, 79)"
37,0,0,0,F,Ost,"(70, 79)"
38,0,0,0,F,Ost,"(70, 79)"
39,0,0,0,F,Ost,"(70, 79)"
40,0,0,0,F,Ost,"(70, 79)"
41,0,0,0,F,Ost,"(70, 79)"
42,0,0,0,F,Ost,"(70, 79)"
43,0,0,0,F,Ost,"(70, 79)"
44,0,0,0,F,Ost,"(70, 79)"
45,0,0,0,F,Ost,"(70, 79)"
46,0,0,0,F,Ost,"(70, 79)"
47,0,0,0,F,Ost,"(70, 79)"
48,0,0,0,F,Ost,"(70, 79)"
49,0,0,0,F,Ost,"(70, 79)"
50,0,0,0,F,Ost,"(70, 79)"
51,0,0,0,F,Ost,"(70, 79)"
52,0,0,0,F,Ost,"(70, 79)"
53,0,0,0,F,Ost,"(70, 79)"
54,0,0,0,F,Ost,"(70, 79)"
55,0,0,0,F,Ost,"(70, 79)"
56,0,0,0,F,Ost,"(70, 79)"
57,0,0,0,F,Ost,"(70, 79)"
58,0,0,0,F,Ost,"(70, 79)"
59,0,0,0,F,Ost,"(70, 79)"
60,0,0,0,F,Ost,"(70, 79)"
61,0,0,0,F,Ost,"(70, 79)"
62,0,0,0,F,Ost,"(70, 79)"
63,0,0,0,F,Ost,"(70, 79)"
64,0,0,0,F,Ost,"(70, 79)"
65,0,0,0,F,Ost,"(70, 79)"
66,0,0,0,F,Ost,"(70, 79)"
67,0,0,0,F,Ost,"(70, 79)"
68,0,0,0,F,Ost,"(70, 79)"
69,0,0,0,F,Ost,"(70, 79)"
70,0,0,0,F,Ost,"(70, 79)"
71,0,0,0,F,Ost,"(70, 79)"
72,0,0,0,F,Ost,"(70, 79)"
73,0,0,0,F,Ost,"(70, 79)"
74,0,0,0,F,Ost,"(70, 79)"
75,0,0,0,F,Ost,"(70, 79)"
76,0,0,0,F,Ost,"(70, 79)"
77,1,1,1,F,Ost,"(70, 79)"
78,1,1,1,F,Ost,"(70, 79)"
79,1,1,1,F,Ost,"(70, 79)"
80,1,1,1,F,Ost,"(70, 79)"
81,2,2,2,F,Ost,"(70, 79)"
82,2,2,2,F,Ost,"(70, 79)"
83,2,2,2,F,Ost,"(70, 79)"
84,2,2,2,F,Ost,"(70, 79)"
85,2,2,2,F,Ost,"(70, 79)"
86,2,2,2,F,Ost,"(70, 79)"
87,2,2,2,F,Ost,"(70, 79)"
88,2,2,2,F,Ost,"(70, 79)"
89,2,2,2,F,Ost,"(70, 79)"
90,2,2,2,F,Ost,"(70, 79)"
91,2,2,2,F,Ost,"(70, 79)"
92,2,2,2,F,Ost,"(70, 79)"
93,2,2,2,F,Ost,"(70, 79)"
94,2,2,2,F,Ost,"(70, 79)"
95,2,2,2,F,Ost,"(70, 79)"
96,2,2,2,F,Ost,"(70, 79)"
97,2,2,2,F,Ost,"(70, 79)"
98,2,2,2,F,Ost,"(70, 79)"
99,2,2,2,F,Ost,"(70, 79)"
100,2,2,2,F,Ost,"(70, 79)"
0,0,0,0,M,Anx,"(10, 19)"
1,0,0,0,M,Anx,"(10, 19)"
2,0,0,0,M,Anx,"(10, 19)"
3,0,0,0,M,Anx,"(10, 19)"
4,0,0,0,M,Anx,"(10, 19)"
5,0,0,0,M,Anx,"(10, 19)"
6,0,0,0,M,Anx,"(10, 19)"
7,0,0,0,M,Anx,"(10, 19)"
8,0,0,0,M,Anx,"(10, 19)"
9,0,0,0,M,Anx,"(10, 19)"
10,0,0,0,M,Anx,"(10, 19)"
11,0,0,0,M,Anx,"(10, 19)"
12,0,0,0,M,Anx,"(10, 19)"
13,0,0,0,M,Anx,"(10, 19)"
14,0,0,0,M,Anx,"(10, 19)"
15,0,0,0,M,Anx,"(10, 19)"
16,1,1,1,M,Anx,"(10, 19)"
17,1,1,1,M,Anx,"(10, 19)"
18,1,1,1,M,Anx,"(10, 19)"
19,1,1,1,M,Anx,"(10, 19)"
20,1,1,1,M,Anx,"(10, 19)"
21,1,1,1,M,Anx,"(10, 19)"
22,1,1,1,M,Anx,"(10, 19)"
23,1,1,1,M,Anx,"(10, 19)"
24,1,1,1,M,Anx,"(10, 19)"
25,1,1,1,M,Anx,"(10, 19)"
26,1,1,1,M,Anx,"(10, 19)"
27,1,1,1,M,Anx,"(10, 19)"
28,1,1,1,M,Anx,"(10, 19)"
29,1,1,1,M,Anx,"(10, 19)"
30,1,1,1,M,Anx,"(10, 19)"
31,1,1,1,M,Anx,"(10, 19)"
32,1,1,1,M,Anx,"(10, 19)"
33,1,1,1,M,Anx,"(10, 19)"
34,1,1,1,M,Anx,"(10, 19)"
35,1,1,1,M,Anx,"(10, 19)"
36,1,1,1,M,Anx,"(10, 19)"
37,1,1,1,M,Anx,"(10, 19)"
38,1,1,1,M,Anx,"(10, 19)"
39,1,1,1,M,Anx,"(10, 19)"
40,1,1,1,M,Anx,"(10, 19)"
41,1,1,1,M,Anx,"(10, 19)"
42,1,1,1,M,Anx,"(10, 19)"
43,1,1,1,M,Anx,"(10, 19)"
44,1,1,1,M,Anx,"(10, 19)"
45,1,1,1,M,Anx,"(10, 19)"
46,1,1,1,M,Anx,"(10, 19)"
47,1,1,1,M,Anx,"(10, 19)"
48,1,1,1,M,Anx,"(10, 19)"
49,1,1,1,M,Anx,"(10, 19)"
50,1,1,1,M,Anx,"(10, 19)"
51,3,3,3,M,Anx,"(10, 19)"
52,3,3,3,M,Anx,"(10, 19)"
53,3,3,3,M,Anx,"(10, 19)"
54,3,3,3,M,Anx,"(10, 19)"
55,3,3,3,M,Anx,"(10, 19)"
56,3,3,3,M,Anx,"(10, 19)"
57,3,3,3,M,Anx,"(10, 19)"
58,3,3,3,M,Anx,"(10, 19)"
59,3,3,3,M,Anx,"(10, 19)"
60,3,3,3,M,Anx,"(10, 19)"
61,3,3,3,M,Anx,"(10, 19)"
62,3,3,3,M,Anx,"(10, 19)"
63,3,3,3,M,Anx,"(10, 19)"
64,3,3,3,M,Anx,"(10, 19)"
65,3,3,3,M,Anx,"(10, 19)"
66,3,3,3,M,Anx,"(10, 19)"
67,3,3,3,M,Anx,"(10, 19)"
68,3,3,3,M,Anx,"(10, 19)"
69,3,3,3,M,Anx,"(10, 19)"
70,3,3,3,M,Anx,"(10, 19)"
71,3,3,3,M,Anx,"(10, 19)"
72,3,3,3,M,Anx,"(10, 19)"
73,3,3,3,M,Anx,"(10, 19)"
74,3,3,3,M,Anx,"(10, 19)"
75,3,3,3,M,Anx,"(10, 19)"
76,3,3,3,M,Anx,"(10, 19)"
77,3,3,3,M,Anx,"(10, 19)"
78,3,3,3,M,Anx,"(10, 19)"
79,3,3,3,M,Anx,"(10, 19)"
80,3,3,3,M,Anx,"(10, 19)"
81,3,3,3,M,Anx,"(10, 19)"
82,3,3,3,M,Anx,"(10, 19)"
83,3,3,3,M,Anx,"(10, 19)"
84,3,3,3,M,Anx,"(10, 19)"
85,3,3,3,M,Anx,"(10, 19)"
86,3,3,3,M,Anx,"(10, 19)"
87,3,3,3,M,Anx,"(10, 19)"
88,3,3,3,M,Anx,"(10, 19)"
89,3,3,3,M,Anx,"(10, 19)"
90,3,3,3,M,Anx,"(10, 19)"
91,3,3,3,M,Anx,"(10, 19)"
92,3,3,3,M,Anx,"(10, 19)"
93,3,3,3,M,Anx,"(10, 19)"
94,3,3,3,M,Anx,"(10, 19)"
95,3,3,3,M,Anx,"(10, 19)"
96,3,3,3,M,Anx,"(10, 19)"
97,3,3,3,M,Anx,"(10, 19)"
98,3,3,3,M,Anx,"(10, 19)"
99,3,3,3,M,Anx,"(10, 19)"
100,3,3,3,M,Anx,"(10, 19)"
0,0,0,0,M,Dep,"(10, 19)"
1,0,0,0,M,Dep,"(10, 19)"
2,0,0,0,M,Dep,"(10, 19)"
3,0,0,0,M,Dep,"(10, 19)"
4,0,0,0,M,Dep,"(10, 19)"
5,0,0,0,M,Dep,"(10, 19)"
6,0,0,0,M,Dep,"(10, 19)"
7,0,0,0,M,Dep,"(10, 19)"
8,0,0,0,M,Dep,"(10, 19)"
9,0,0,0,M,Dep,"(10, 19)"
10,0,0,0,M,Dep,"(10, 19)"
11,0,0,0,M,Dep,"(10, 19)"
12,0,0,0,M,Dep,"(10, 19)"
13,0,0,0,M,Dep,"(10, 19)"
14,0,0,0,M,Dep,"(10, 19)"
15,0,0,0,M,Dep,"(10, 19)"
16,0,0,0,M,Dep,"(10, 19)"
17,0,0,0,M,Dep,"(10, 19)"
18,0,0,0,M,Dep,"(10, 19)"
19,2,2,2,M,Dep,"(10, 19)"
20,2,2,2,M,Dep,"(10, 19)"
21,2,2,2,M,Dep,"(10, 19)"
22,2,2,2,M,Dep,"(10, 19)"
23,2,2,2,M,Dep,"(10, 19)"
24,2,2,2,M,Dep,"(10, 19)"
25,2,2,2,M,Dep,"(10, 19)"
26,2,2,2,M,Dep,"(10, 19)"
27,2,2,2,M,Dep,"(10, 19)"
28,2,2,2,M,Dep,"(10, 19)"
29,2,2,2,M,Dep,"(10, 19)"
30,2,2,2,M,Dep,"(10, 19)"
31,2,2,2,M,Dep,"(10, 19)"
32,2,2,2,M,Dep,"(10, 19)"
33,2,2,2,M,Dep,"(10, 19)"
34,2,2,2,M,Dep,"(10, 19)"
35,2,2,2,M,Dep,"(10, 19)"
36,2,2,2,M,Dep,"(10, 19)"
37,2,2,2,M,Dep,"(10, 19)"
38,2,2,2,M,Dep,"(10, 19)"
39,2,2,2,M,Dep,"(10, 19)"
40,2,2,2,M,Dep,"(10, 19)"
41,2,2,2,M,Dep,"(10, 19)"
42,2,2,2,M,Dep,"(10, 19)"
43,2,2,2,M,Dep,"(10, 19)"
44,2,2,2,M,Dep,"(10, 19)"
45,2,2,2,M,Dep,"(10, 19)"
46,2,2,2,M,Dep,"(10, 19)"
47,2,2,2,M,Dep,"(10, 19)"
48,2,2,2,M,Dep,"(10, 19)"
49,2,2,2,M,Dep,"(10, 19)"
50,2,2,2,M,Dep,"(10, 19)"
51,2,2,2,M,Dep,"(10, 19)"
52,2,2,2,M,Dep,"(10, 19)"
53,2,2,2,M,Dep,"(10, 19)"
54,2,2,2,M,Dep,"(10, 19)"
55,2,2,2,M,Dep,"(10, 19)"
56,2,2,2,M,Dep,"(10, 19)"
57,2,2,2,M,Dep,"(10, 19)"
58,2,2,2,M,Dep,"(10, 19)"
59,2,2,2,M,Dep,"(10, 19)"
60,2,2,2,M,Dep,"(10, 19)"
61,2,2,2,M,Dep,"(10, 19)"
62,2,2,2,M,Dep,"(10, 19)"
63,2,2,2,M,Dep,"(10, 19)"
64,2,2,2,M,Dep,"(10, 19)"
65,2,2,2,M,Dep,"(10, 19)"
66,2,2,2,M,Dep,"(10, 19)"
67,2,2,2,M,Dep,"(10, 19)"
68,2,2,2,M,Dep,"(10, 19)"
69,2,2,2,M,Dep,"(10, 19)"
70,2,2,2,M,Dep,"(10, 19)"
71,2,2,2,M,Dep,"(10, 19)"
72,2,2,2,M,Dep,"(10, 19)"
73,2,2,2,M,Dep,"(10, 19)"
74,2,2,2,M,Dep,"(10, 19)"
75,2,2,2,M,Dep,"(10, 19)"
76,2,2,2,M,Dep,"(10, 19)"
77,2,2,2,M,Dep,"(10, 19)"
78,2,2,2,M,Dep,"(10, 19)"
79,2,2,2,M,Dep,"(10, 19)"
80,2,2,2,M,Dep,"(10, 19)"
81,2,2,2,M,Dep,"(10, 19)"
82,2,2,2,M,Dep,"(10, 19)"
83,2,2,2,M,Dep,"(10, 19)"
84,2,2,2,M,Dep,"(10, 19)"
85,2,2,2,M,Dep,"(10, 19)"
86,2,2,2,M,Dep,"(10, 19)"
87,2,2,2,M,Dep,"(10, 19)"
88,2,2,2,M,Dep,"(10, 19)"
89,2,2,2,M,Dep,"(10, 19)"
90,2,2,2,M,Dep,"(10, 19)"
91,2,2,2,M,Dep,"(10, 19)"
92,2,2,2,M,Dep,"(10, 19)"
93,2,2,2,M,Dep,"(10, 19)"
94,2,2,2,M,Dep,"(10, 19)"
95,2,2,2,M,Dep,"(10, 19)"
96,2,2,2,M,Dep,"(10, 19)"
97,2,2,2,M,Dep,"(10, 19)"
98,2,2,2,M,Dep,"(10, 19)"
99,2,2,2,M,Dep,"(10, 19)"
100,2,2,2,M,Dep,"(10, 19)"
0,0,0,0,M,HS,"(0, 9)"
1,0,0,0,M,HS,"(0, 9)"
2,0,0,0,M,HS,"(0, 9)"
3,0,0,0,M,HS,"(0, 9)"
4,0,0,0,M,HS,"(0, 9)"
5,0,0,0,M,HS,"(0, 9)"
6,0,0,0,M,HS,"(0, 9)"
7,0,0,0,M,HS,"(0, 9)"
8,0,0,0,M,HS,"(0, 9)"
9,0,0,0,M,HS,"(0, 9)"
10,0,0,0,M,HS,"(0, 9)"
11,0,0,0,M,HS,"(0, 9)"
12,0,0,0,M,HS,"(0, 9)"
13,0,0,0,M,HS,"(0, 9)"
14,0,0,0,M,HS,"(0, 9)"
15,0,0,0,M,HS,"(0, 9)"
16,0.166666667,0,0.333333333,M,HS,"(0, 9)"
17,0.166666667,0,0.333333333,M,HS,"(0, 9)"
18,0.166666667,0,0.333333333,M,HS,"(0, 9)"
19,0.5,0,0.75,M,HS,"(0, 9)"
20,0.5,0,0.75,M,HS,"(0, 9)"
21,0.5,0,0.75,M,HS,"(0, 9)"
22,0.5,0,0.75,M,HS,"(0, 9)"
23,0.5,0,0.75,M,HS,"(0, 9)"
24,0.5,0,0.75,M,HS,"(0, 9)"
25,0.5,0,0.75,M,HS,"(0, 9)"
26,0.5,0,0.75,M,HS,"(0, 9)"
27,0.5,0,0.75,M,HS,"(0, 9)"
28,0.5,0,0.75,M,HS,"(0, 9)"
29,0.5,0,0.75,M,HS,"(0, 9)"
